sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Akan,ethnicity_Ewe,ethnicity_Ga/Dangme,ethnicity_Grusi,ethnicity_Guan,ethnicity_Gurma,ethnicity_Mande,ethnicity_Mole-Dagbani,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7
1.436135,Akan,richest,147961,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,7.180675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002995746234571701
1.436135,Akan,richer,104889,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.74454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195416716730353e-05
1.436135,Akan,richer,104889,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.74454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195416716730353e-05
1.436135,Akan,richer,104889,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.74454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195416716730353e-05
1.436135,Akan,richer,104889,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.74454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195416716730353e-05
1.436135,Akan,middle,32547,6,"western, urban",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,4.308405,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00011566628912256304
1.436135,Akan,richer,66212,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.74454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195416716730353e-05
1.436135,Akan,middle,34993,6,"western, urban",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,4.308405,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00011566628912256304
1.436135,Akan,middle,34993,6,"western, urban",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,4.308405,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00011566628912256304
1.436135,Akan,richest,125734,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,7.180675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002995746234571701
1.436135,Akan,richer,83583,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.74454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195416716730353e-05
