sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Amerindian,ethnicity_Black,ethnicity_East Indian,ethnicity_Mixed Race,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3
0.216213,Mixed Race,poorest,-1.2337278024414065,8.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.216213,-0.0,-0.00041063352707979543,-0.0,-0.0
0.216213,Mixed Race,poorest,-1.2337278024414065,8.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.216213,-0.0,-0.00041063352707979543,-0.0,-0.0
0.216213,Mixed Race,poorest,-1.3629154173496332,8.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.216213,-0.0,-0.00041063352707979543,-0.0,-0.0
0.216213,Amerindian,poorest,-0.4089442018422512,8.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.216213,-0.00016516685551797266,-0.0,-0.0,-0.0
0.216213,Amerindian,poorest,-0.4089442018422512,8.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.216213,-0.00016516685551797266,-0.0,-0.0,-0.0
0.216213,Mixed Race,poorest,-1.0352070759920626,8.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.216213,-0.0,-0.00041063352707979543,-0.0,-0.0
0.216213,Mixed Race,poorest,-1.0352070759920626,8.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.216213,-0.0,-0.00041063352707979543,-0.0,-0.0
0.221017,Mixed Race,poorest,-1.5518463074069244,8.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.221017,-0.0,-0.0004197573238176943,-0.0,-0.0
0.221017,Mixed Race,poorest,-1.067172263198513,8.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.221017,-0.0,-0.0004197573238176943,-0.0,-0.0
0.221017,Mixed Race,poorest,-1.464615815713489,8.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.221017,-0.0,-0.0004197573238176943,-0.0,-0.0
0.221017,Black,poorer,-0.07713964427227027,8.0,1.0,0,1,0,0,0,1,0,0,0,2.0,0.442034,0.0,-0.0,-0.0,-0.00017322709573828153
0.221017,Mixed Race,middle,0.6492945687470495,8.0,1.0,0,0,0,1,0,0,1,0,0,3.0,0.663051,0.0,-1.5481184258758448e-05,-0.0,-0.0
0.221017,Mixed Race,middle,0.5672343014843424,8.0,1.0,0,0,0,1,0,0,1,0,0,3.0,0.663051,0.0,-1.5481184258758448e-05,-0.0,-0.0
0.221017,Mixed Race,middle,0.5672343014843424,8.0,1.0,0,0,0,1,0,0,1,0,0,3.0,0.663051,0.0,-1.5481184258758448e-05,-0.0,-0.0
